"variable","GND","type","data","alpha","model"
"X98",6.45,"real",0.0607971392950178,"Hi",0.010194423131042
"X98",6.45,"simulated",0.0186472610553423,"Hi",0.0192523385391277
"X98",6.55,"real",0.0712594886556329,"Hi",0.00942662307996488
"X98",6.55,"simulated",0.0180501712278808,"Hi",0.0180576158124807
"X98",6.65,"real",0.0613326323856344,"Hi",0.00872244773460269
"X98",6.65,"simulated",0.0160621222717561,"Hi",0.0169468635337964
"X98",6.75,"real",0.0576806432675932,"Hi",0.00807618606392094
"X98",6.75,"simulated",0.015234211751819,"Hi",0.0159135474714648
"X98",6.85,"real",0.0497305662208868,"Hi",0.00748267455554825
"X98",6.85,"simulated",0.01487602773835,"Hi",0.0149516855678167
"X98",6.95,"real",0.044274941912948,"Hi",0.00693724192382148
"X98",6.95,"simulated",0.014720930482001,"Hi",0.0140557981806816
"X98",7.05,"real",0.045418299113778,"Hi",0.00643565961034562
"X98",7.05,"simulated",0.0133507007006985,"Hi",0.0132208630137237
"X98",7.15,"real",0.0428463602848276,"Hi",0.00597409745963362
"X98",7.15,"simulated",0.0126189225236064,"Hi",0.0124422742850174
"X98",7.25,"real",0.0382752227495656,"Hi",0.00554908401764768
"X98",7.25,"simulated",0.0115861019435901,"Hi",0.0117158057257809
"X98",7.35,"real",0.034196875133786,"Hi",0.00515747095926551
"X98",7.35,"simulated",0.0112985638865858,"Hi",0.0110375770399013
"X98",7.45,"real",0.0372524425330144,"Hi",0.00479640120366273
"X98",7.45,"simulated",0.0107923517941607,"Hi",0.0104040234903456
"X98",7.55,"real",0.0334283932963672,"Hi",0.00446328032382582
"X98",7.55,"simulated",0.00959298710150611,"Hi",0.00981186831081056
"X98",7.65,"real",0.0281905360715379,"Hi",0.00415575089886907
"X98",7.65,"simulated",0.00894368363015154,"Hi",0.00925809767027791
"X98",7.75,"real",0.0279671306223975,"Hi",0.00387166949579118
"X98",7.75,"simulated",0.00775768414786226,"Hi",0.00873993794471735
"X98",7.85,"real",0.0285007843989189,"Hi",0.00360908600123828
"X98",7.85,"simulated",0.00774160622898775,"Hi",0.00825483507424046
"X98",7.95,"real",0.024890465092462,"Hi",0.00336622505413349
"X98",7.95,"simulated",0.00749499366106627,"Hi",0.00780043580576043
"X98",8.05,"real",0.0248989304110863,"Hi",0.00314146935705324
"X98",8.05,"simulated",0.00711865426486098,"Hi",0.00737457064085483
"X98",8.15,"real",0.018045345416762,"Hi",0.00293334466831842
"X98",8.15,"simulated",0.00673789094733613,"Hi",0.00697523832625272
"X98",8.25,"real",0.0207824430197542,"Hi",0.0027405062982271
"X98",8.25,"simulated",0.0066486739786439,"Hi",0.00660059174034814
"X98",8.35,"real",0.0179769403206606,"Hi",0.00256172695196686
"X98",8.35,"simulated",0.00658494810813254,"Hi",0.00624892504352956
"X98",8.45,"real",0.0169099850386145,"Hi",0.00239588577875977
"X98",8.45,"simulated",0.00569462564830874,"Hi",0.00591866197312235
